,State,month,day,time,harmful-event,manner-of-collision,person-type,seating-position,age,age-range,gender,race,injury-severity,air-bag,transported-for-treatment,protection-system,ejection,extrication,dead-on-arrival,year-of-death,alcohol-test,drug-test,road-type,n0-of-lanes,sorrounding-area,road-features,light-condion,weather-conditions,following-traffic-rules,type-of-vehicle,causality-class,Severity Class
0,2,4,1,815.0,0,0,0,0,0,61.0,0,0,1,0,0,0,1,1,1,2016.0,0,0,0,1,0,0,0,3,1,2,1,2
1,2,4,1,1330.0,0,0,0,0,0,36.0,1,0,1,0,0,0,1,1,1,2016.0,0,0,1,1,3,0,0,1,1,1,0,2
2,2,4,1,805.0,0,0,0,0,0,32.0,1,0,1,0,0,0,1,1,1,2016.0,0,0,0,2,3,0,1,1,1,2,0,2
3,2,4,1,805.0,0,0,0,0,0,30.0,1,0,1,0,0,0,1,1,0,2016.0,0,0,0,2,3,2,2,1,0,2,0,2
4,2,4,1,1705.0,0,0,0,0,0,26.0,0,0,1,0,0,0,0,1,1,2016.0,1,1,0,2,3,2,1,5,1,2,0,2
5,2,4,1,1200.0,0,0,0,0,0,34.0,0,0,1,0,0,0,0,0,0,2016.0,1,0,1,2,3,2,1,1,1,2,0,1
6,2,4,1,1230.0,0,0,0,0,0,39.0,1,0,1,0,0,0,0,0,0,2016.0,1,0,1,2,3,2,1,1,1,2,0,1
7,2,4,1,1230.0,0,0,0,0,0,69.0,0,0,1,0,0,1,0,0,0,2016.0,1,0,1,2,3,2,1,1,1,2,0,1
8,2,4,1,1807.0,0,0,0,0,0,18.0,1,0,1,0,1,1,0,0,0,2016.0,1,0,1,2,0,2,1,1,1,2,0,1
9,2,4,1,1807.0,0,0,0,0,1,17.0,0,0,1,0,1,1,0,0,0,2016.0,1,2,1,2,3,2,2,1,1,2,0,1
10,2,4,1,1807.0,0,0,0,0,1,19.0,0,0,0,0,1,1,0,0,0,2016.0,1,0,1,2,3,2,2,1,0,2,0,1
